fold,method,n_val,subgroup_key,subgroup_value,auc_roc,auc_pr,issr_10,issr_25,precision_10,recall_10,ndcg_10,precision_25,recall_25,ndcg_25,n_samples,n_positive,n_negative
1,integrated_model,192.0,overall,all,0.5898600357355568,0.8064937437568483,0.7894736842105263,0.8125,0.7894736842105263,0.10273972602739725,0.8217340794317133,0.8125,0.2671232876712329,0.8226880104270197,,,
1,binding_only_max,192.0,overall,all,0.5,0.7604166666666666,0.8421052631578947,0.8541666666666666,0.8421052631578947,0.1095890410958904,0.7604166666666665,0.8541666666666666,0.2808219178082192,0.7604166666666667,,,
1,integrated_model,,virus,EBV,0.6117947178871549,0.8010609448160364,0.7692307692307693,0.8181818181818182,0.7692307692307693,0.10204081632653061,0.7964563865042302,0.8181818181818182,0.2755102040816326,0.8188914401324455,132.0,98.0,34.0
1,integrated_model,,virus,HPV11,,,,,,,,,,,2.0,2.0,0.0
1,integrated_model,,virus,HPV16,0.5380434782608696,0.8153580904969222,0.6,0.7857142857142857,0.6,0.06521739130434782,0.7227265726449517,0.7857142857142857,0.2391304347826087,0.8006612027327763,58.0,46.0,12.0
1,integrated_model,,strain,missing,0.5898600357355568,0.8064937437568483,0.7894736842105263,0.8125,0.7894736842105263,0.10273972602739725,0.8217340794317133,0.8125,0.2671232876712329,0.8226880104270197,192.0,146.0,46.0
1,binding_only_max,,virus,EBV,0.5,0.7424242424242424,0.9230769230769231,0.8787878787878788,0.9230769230769231,0.12244897959183673,0.7424242424242424,0.8787878787878788,0.29591836734693877,0.7424242424242423,132.0,98.0,34.0
1,binding_only_max,,virus,HPV11,,,,,,,,,,,2.0,2.0,0.0
1,binding_only_max,,virus,HPV16,0.5,0.7931034482758621,1.0,0.7857142857142857,1.0,0.10869565217391304,0.793103448275862,0.7857142857142857,0.2391304347826087,0.793103448275862,58.0,46.0,12.0
1,binding_only_max,,strain,missing,0.5,0.7604166666666666,0.8421052631578947,0.8541666666666666,0.8421052631578947,0.1095890410958904,0.7604166666666665,0.8541666666666666,0.2808219178082192,0.7604166666666667,192.0,146.0,46.0
2,integrated_model,192.0,overall,all,0.601027397260274,0.8212272749350701,0.8421052631578947,0.875,0.8421052631578947,0.1095890410958904,0.8486073098570305,0.875,0.2876712328767123,0.8751869987568694,,,
2,binding_only_max,192.0,overall,all,0.5,0.7604166666666666,0.7894736842105263,0.75,0.7894736842105263,0.10273972602739725,0.7604166666666665,0.75,0.2465753424657534,0.7604166666666667,,,
2,integrated_model,,virus,EBV,0.6098130841121495,0.8401508901081536,0.8461538461538461,0.8787878787878788,0.8461538461538461,0.102803738317757,0.8612500680509714,0.8787878787878788,0.27102803738317754,0.8736517356276547,135.0,107.0,28.0
2,integrated_model,,virus,HPV11,,,,,,,,,,,3.0,3.0,0.0
2,integrated_model,,virus,HPV16,0.5555555555555556,0.750850609228994,0.8,0.7692307692307693,0.8,0.1111111111111111,0.8539316501572934,0.7692307692307693,0.2777777777777778,0.8143261100032142,54.0,36.0,18.0
2,integrated_model,,strain,missing,0.601027397260274,0.8212272749350701,0.8421052631578947,0.875,0.8421052631578947,0.1095890410958904,0.8486073098570305,0.875,0.2876712328767123,0.8751869987568694,192.0,146.0,46.0
2,binding_only_max,,virus,EBV,0.5,0.7925925925925926,0.7692307692307693,0.7878787878787878,0.7692307692307693,0.09345794392523364,0.7925925925925926,0.7878787878787878,0.24299065420560748,0.7925925925925925,135.0,107.0,28.0
2,binding_only_max,,virus,HPV11,,,,,,,,,,,3.0,3.0,0.0
2,binding_only_max,,virus,HPV16,0.5,0.6666666666666666,0.8,0.7692307692307693,0.8,0.1111111111111111,0.6666666666666665,0.7692307692307693,0.2777777777777778,0.6666666666666666,54.0,36.0,18.0
2,binding_only_max,,strain,missing,0.5,0.7604166666666666,0.7894736842105263,0.75,0.7894736842105263,0.10273972602739725,0.7604166666666665,0.75,0.2465753424657534,0.7604166666666667,192.0,146.0,46.0
3,integrated_model,192.0,overall,all,0.5830851697438952,0.8099420848264778,0.8421052631578947,0.8333333333333334,0.8421052631578947,0.1095890410958904,0.8420887281828983,0.8333333333333334,0.273972602739726,0.8353687281978062,,,
3,binding_only_max,192.0,overall,all,0.5,0.7604166666666666,0.7894736842105263,0.8125,0.7894736842105263,0.10273972602739725,0.7604166666666665,0.8125,0.2671232876712329,0.7604166666666667,,,
3,integrated_model,,virus,EBV,0.5985135989879823,0.818924359701677,0.8461538461538461,0.8181818181818182,0.8461538461538461,0.10784313725490197,0.8382013491481913,0.8181818181818182,0.2647058823529412,0.8248912780347333,133.0,102.0,31.0
3,integrated_model,,virus,HPV11,,,,,,,,,,,2.0,2.0,0.0
3,integrated_model,,virus,HPV16,0.5555555555555556,0.7844084720296509,0.6,0.8571428571428571,0.6,0.07142857142857142,0.69921481985085,0.8571428571428571,0.2857142857142857,0.8419536967679686,57.0,42.0,15.0
3,integrated_model,,strain,missing,0.5830851697438952,0.8099420848264778,0.8421052631578947,0.8333333333333334,0.8421052631578947,0.1095890410958904,0.8420887281828983,0.8333333333333334,0.273972602739726,0.8353687281978062,192.0,146.0,46.0
3,binding_only_max,,virus,EBV,0.5,0.7669172932330827,0.7692307692307693,0.8484848484848485,0.7692307692307693,0.09803921568627451,0.7669172932330827,0.8484848484848485,0.27450980392156865,0.7669172932330824,133.0,102.0,31.0
3,binding_only_max,,virus,HPV11,,,,,,,,,,,2.0,2.0,0.0
3,binding_only_max,,virus,HPV16,0.5,0.7368421052631579,0.8,0.8571428571428571,0.8,0.09523809523809523,0.7368421052631579,0.8571428571428571,0.2857142857142857,0.7368421052631579,57.0,42.0,15.0
3,binding_only_max,,strain,missing,0.5,0.7604166666666666,0.7894736842105263,0.8125,0.7894736842105263,0.10273972602739725,0.7604166666666665,0.8125,0.2671232876712329,0.7604166666666667,192.0,146.0,46.0
4,integrated_model,192.0,overall,all,0.5306730196545564,0.7722096208218785,0.631578947368421,0.7708333333333334,0.631578947368421,0.0821917808219178,0.7158481524368014,0.7708333333333334,0.2534246575342466,0.7799322378233126,,,
4,binding_only_max,192.0,overall,all,0.5,0.7604166666666666,0.8421052631578947,0.8333333333333334,0.8421052631578947,0.1095890410958904,0.7604166666666665,0.8333333333333334,0.273972602739726,0.7604166666666667,,,
4,integrated_model,,virus,EBV,0.5604138851802403,0.8214995909116951,0.7692307692307693,0.8181818181818182,0.7692307692307693,0.09345794392523364,0.8283209203392113,0.8181818181818182,0.2523364485981308,0.8341910045317686,135.0,107.0,28.0
4,integrated_model,,virus,HPV11,,,,,,,,,,,1.0,1.0,0.0
4,integrated_model,,virus,HPV16,0.46418128654970764,0.6387095922925015,0.2,0.6428571428571429,0.2,0.02631578947368421,0.13120507751234178,0.6428571428571429,0.23684210526315788,0.4898487300516575,56.0,38.0,18.0
4,integrated_model,,strain,missing,0.5306730196545564,0.7722096208218785,0.631578947368421,0.7708333333333334,0.631578947368421,0.0821917808219178,0.7158481524368014,0.7708333333333334,0.2534246575342466,0.7799322378233126,192.0,146.0,46.0
4,binding_only_max,,virus,EBV,0.5,0.7925925925925926,0.8461538461538461,0.8484848484848485,0.8461538461538461,0.102803738317757,0.7925925925925926,0.8484848484848485,0.2616822429906542,0.7925925925925925,135.0,107.0,28.0
4,binding_only_max,,virus,HPV11,,,,,,,,,,,1.0,1.0,0.0
4,binding_only_max,,virus,HPV16,0.5,0.6785714285714286,0.8,0.8571428571428571,0.8,0.10526315789473684,0.6785714285714285,0.8571428571428571,0.3157894736842105,0.6785714285714286,56.0,38.0,18.0
4,binding_only_max,,strain,missing,0.5,0.7604166666666666,0.8421052631578947,0.8333333333333334,0.8421052631578947,0.1095890410958904,0.7604166666666665,0.8333333333333334,0.273972602739726,0.7604166666666667,192.0,146.0,46.0
5,integrated_model,191.0,overall,all,0.5375190258751903,0.8134919654091246,0.8421052631578947,0.851063829787234,0.8421052631578947,0.1095890410958904,0.8888741758707439,0.851063829787234,0.273972602739726,0.8752226973066116,,,
5,binding_only_max,191.0,overall,all,0.5,0.7643979057591623,0.8947368421052632,0.8085106382978723,0.8947368421052632,0.11643835616438356,0.7643979057591622,0.8085106382978723,0.2602739726027397,0.7643979057591624,,,
5,integrated_model,,virus,EBV,0.5134615384615384,0.8300658133112709,0.8333333333333334,0.8387096774193549,0.8333333333333334,0.1,0.9281092885390753,0.8387096774193549,0.26,0.8702125574541991,126.0,100.0,26.0
5,integrated_model,,virus,HPV11,,,,,,,,,,,2.0,2.0,0.0
5,integrated_model,,virus,HPV16,0.5771531100478469,0.7742697198937758,0.8333333333333334,0.8,0.8333333333333334,0.11363636363636363,0.876306820475833,0.8,0.2727272727272727,0.8390019406056958,63.0,44.0,19.0
5,integrated_model,,strain,missing,0.5375190258751903,0.8134919654091246,0.8421052631578947,0.851063829787234,0.8421052631578947,0.1095890410958904,0.8888741758707439,0.851063829787234,0.273972602739726,0.8752226973066116,191.0,146.0,45.0
5,binding_only_max,,virus,EBV,0.5,0.7936507936507936,1.0,0.9032258064516129,1.0,0.12,0.7936507936507935,0.9032258064516129,0.28,0.7936507936507935,126.0,100.0,26.0
5,binding_only_max,,virus,HPV11,,,,,,,,,,,2.0,2.0,0.0
5,binding_only_max,,virus,HPV16,0.5,0.6984126984126984,0.6666666666666666,0.6,0.6666666666666666,0.09090909090909091,0.6984126984126984,0.6,0.20454545454545456,0.6984126984126984,63.0,44.0,19.0
5,binding_only_max,,strain,missing,0.5,0.7643979057591623,0.8947368421052632,0.8085106382978723,0.8947368421052632,0.11643835616438356,0.7643979057591622,0.8085106382978723,0.2602739726027397,0.7643979057591624,191.0,146.0,45.0
